id,created_at,text
1196164395774009344,2019-11-17 20:33:10,b'RT @realDonaldTrump: Where is the Fake Whistleblower?'
1196164265541025792,2019-11-17 20:32:39,b'RT @realDonaldTrump: https://t.co/ru2n7i2gzu'
1196164159399964674,2019-11-17 20:32:13,"b'RT @realDonaldTrump: Republicans &amp; others must remember, the Ukrainian President and Foreign Minister both said that there was no pressure\xe2\x80\xa6'"
1196164037941321735,2019-11-17 20:31:44,"b'RT @realDonaldTrump: Tell Jennifer Williams, whoever that is, to read BOTH transcripts of the presidential calls, &amp; see the just released s\xe2\x80\xa6'"
1196164037916139521,2019-11-17 20:31:44,"b'RT @realDonaldTrump: The Crazed, Do Nothing Democrats are turning Impeachment into a routine partisan weapon. That is very bad for our Coun\xe2\x80\xa6'"
1196163908500897793,2019-11-17 20:31:14,b'RT @realDonaldTrump: https://t.co/I3lO117SVh'
1196154638162104320,2019-11-17 19:54:23,"b'RT @realDonaldTrump: .@SteveScalise blew the nasty &amp; obnoxious Chris Wallace (will never be his father, Mike!) away on Chris\xe2\x80\x99s lowest rated\xe2\x80\xa6'"
1196154638124437505,2019-11-17 19:54:23,b'RT @realDonaldTrump: Paul Krugman of @nytimes has been wrong about me from the very beginning. Anyone who has followed his \xe2\x80\x9cwords of wisdom\xe2\x80\xa6'
1196132899797553152,2019-11-17 18:28:01,b'RT @realDonaldTrump: https://t.co/nJBvFD1fGD'
1196132764237602817,2019-11-17 18:27:28,b'RT @realDonaldTrump: https://t.co/N6jsblFuMc'
1196125096735318017,2019-11-17 17:57:00,b'RT @realDonaldTrump: https://t.co/8bPq1Oy71z'
1196122719001153536,2019-11-17 17:47:33,b'RT @realDonaldTrump: Paul Krugman has called me wrong from day one. People at the Failing New York Times are very angry at him for having \xe2\x80\x9c\xe2\x80\xa6'
1196122239655124993,2019-11-17 17:45:39,b'RT @realDonaldTrump: https://t.co/z0I7wBsgTP'
1196083615584673793,2019-11-17 15:12:10,"b'RT @realDonaldTrump: .@MariaBartiromo has a GREAT show going on right now, 10:00 A.M. Fantastic guests talk about the Fake Impeachment!  @F\xe2\x80\xa6'"
1196075381163466752,2019-11-17 14:39:27,"b'RT @realDonaldTrump: Dowd never understood the pulse of the Republican Party, present or past. He\xe2\x80\x99s just a 3rd rate hit job for Fake News @\xe2\x80\xa6'"
1196062036981112836,2019-11-17 13:46:26,b'RT @realDonaldTrump: Thank you Pete. Our great warfighters must be allowed to fight. I would not have done this for Sgt. Bergdahl or Chelse\xe2\x80\xa6'
1196041391706722304,2019-11-17 12:24:23,b'RT @realDonaldTrump: Visited a great family of a young man under major surgery at the amazing Walter Reed Medical Center. Those are truly s\xe2\x80\xa6'
1195906249558241282,2019-11-17 03:27:23,b'RT @realDonaldTrump: https://t.co/5Tbgwkpv4p'
1195906132629434368,2019-11-17 03:26:55,b'RT @realDonaldTrump: https://t.co/65ERQ7YfUS'
1195732722825732096,2019-11-16 15:57:51,"b'RT @realDonaldTrump: ....and Taylor, dismissing everybody involved from the Obama holdover days trying to undermine Trump, getting rid of t\xe2\x80\xa6'"
1195732722129547264,2019-11-16 15:57:51,"b'RT @realDonaldTrump: \xe2\x80\x9cMy support for Donald Trump has never been greater than it is right now. It is paramountly obvious watching this, the\xe2\x80\xa6'"
1195532620475641856,2019-11-16 02:42:43,b'RT @realDonaldTrump: #NewHoaxSameSwamp https://t.co/GIg9R9Txe0'
1195500494829105153,2019-11-16 00:35:03,b'RT @realDonaldTrump: https://t.co/YvlBpfsiTa'
1195475318502576130,2019-11-15 22:55:01,"b'RT @WhiteHouse: From individual medical supplies to the total cost of common procedures, hospitals will display prices for services in an e\xe2\x80\xa6'"
1195475191784247303,2019-11-15 22:54:31,"b'RT @WhiteHouse: Americans have a right to know the price of services before they go to the doctor. Today, President @realDonaldTrump finali\xe2\x80\xa6'"
1195464487920422913,2019-11-15 22:11:59,b'RT @realDonaldTrump: https://t.co/8h6ZmdGlPf https://t.co/shaijXMXli'
1195442296998809602,2019-11-15 20:43:48,"b'RT @RepMarkMeadows: The Democrats second day impeachment witness, Ambassador Yovanovitch, has no information on any of the relevant questio\xe2\x80\xa6'"
1195442296982048769,2019-11-15 20:43:48,"b'RT @RepLeeZeldin: History is going to be so MASSIVELY unkind towards Pelosi, Schiff and the rest of Congressional Democrats who continue su\xe2\x80\xa6'"
1195442170280448005,2019-11-15 20:43:18,"b""RT @SteveScalise: The Dems' star witness was just asked on record if she had any information regarding @realDonaldTrump accepting any bribe\xe2\x80\xa6"""
1195442170255302657,2019-11-15 20:43:18,b'RT @EliseStefanik: Obama\xe2\x80\x99s own State Dept. was so concerned about conflicts of interest from Hunter Biden\xe2\x80\x99s role at Burisma that they raise\xe2\x80\xa6'
1195442170255282177,2019-11-15 20:43:18,"b'RT @EliseStefanik: The facts are clear, confirmed by our witness, Ambassador Yovanovitch: defensive lethal aid was provided to Ukraine not\xe2\x80\xa6'"
1195442056140857345,2019-11-15 20:42:51,"b'RT @GOPLeader: Before Chairman Adam Schiff gets a chance to make up another phone call between Presidents Trump and Zelensky, @DevinNunes j\xe2\x80\xa6'"
1195438194516516864,2019-11-15 20:27:30,b'RT @DanScavino: \xe2\x80\x9cUkrainian FM Vadym Prystaiko said on Thur that the U.S. Amb did not link financial military assistance to a request for Uk\xe2\x80\xa6'
1195438194495557638,2019-11-15 20:27:30,b'RT @Jim_Jordan: https://t.co/gjRFvN02xO'
1195421890074103810,2019-11-15 19:22:43,"b'RT @Jim_Jordan: We now have both the April and July calls between President Trump and President Zelensky. Once again, no linkage of any kin\xe2\x80\xa6'"
1195421890002726912,2019-11-15 19:22:43,"b'RT @RepMarkMeadows: Bravo from @RepChrisStewart, who just summarized this whole hearing:\n\nQ: ""Do you have any information regarding POTUS a\xe2\x80\xa6'"
1195421762080694273,2019-11-15 19:22:12,"b'RT @GOPLeader: .@RepStefanik: ""I just want to get it on record. In terms of defensive lethal aid, which you were an advocate for, that was\xe2\x80\xa6'"
1195421762063884293,2019-11-15 19:22:12,"b'RT @Rep_Watkins: Democrats didn\xe2\x80\x99t like the outcome of the 2016 election, so now they\xe2\x80\x99re trying to impeach @realDonaldTrump \n\n#KS02 #ksleg h\xe2\x80\xa6'"
1195421661635309570,2019-11-15 19:21:48,b'RT @RepAndyBiggsAZ: .@RepDevinNunes is exactly right: former Ambassador Yovanovitch should not be a witness at an impeachment hearing where\xe2\x80\xa6'
1195421661501313028,2019-11-15 19:21:48,b'RT @HouseGOP: Why is Chairman Schiff afraid of @RepStefanik?\n\nWhy doesn\xe2\x80\x99t he want Republican members to ask questions?\n\nWhy is he conductin\xe2\x80\xa6'
1195421536645210114,2019-11-15 19:21:18,"b'RT @RepMarkMeadows: One thing to note:\n\nNotice how, so far, the Democrats have been peppering the witness with questions asking her to spec\xe2\x80\xa6'"
1195421536628461572,2019-11-15 19:21:18,b'RT @CongressmanHice: Quick reminder \xe2\x86\x92 Ambassador Marie Yovanovitch is yet another person who wasn\xe2\x80\x99t present on the July 25th call \xe2\x80\x93 and tha\xe2\x80\xa6'
1195421412464451589,2019-11-15 19:20:49,"b""RT @RepDLamborn: This witness has absolutely no relevant information. She can't bring any first-hand knowledge of the events and was recall\xe2\x80\xa6"""
1195421409666879492,2019-11-15 19:20:48,"b'RT @RepSmucker: No matter how hard the media and the Democrats try to spin the hearings, these are the facts... #ImpeachingHearings #FactsM\xe2\x80\xa6'"
1195416069361586177,2019-11-15 18:59:35,"b""RT @WhiteHouse: \xf0\x9f\x9a\xa8 The most important clip you'll see today \xf0\x9f\x9a\xa8\n\n\xe2\x9e\xa1\xef\xb8\x8f The Obama State Department had the same concern about the Biden family's c\xe2\x80\xa6"""
1195390870360612868,2019-11-15 17:19:27,"b'RT @realDonaldTrump: So they now convict Roger Stone of lying and want to jail him for many years to come. Well, what about Crooked Hillary\xe2\x80\xa6'"
1195390870146691073,2019-11-15 17:19:27,b'RT @realDonaldTrump: ....A double standard like never seen before in the history of our Country?'
1195380178907734018,2019-11-15 16:36:58,"b'RT @realDonaldTrump: Stock Market up big. New and Historic Record. Job, jobs, jobs!'"
1195380067590909957,2019-11-15 16:36:31,b'RT @realDonaldTrump: We have vacancies in various departments because we do not want or need as many people as past administrations (and sa\xe2\x80\xa6'
1195365104423985152,2019-11-15 15:37:04,b'RT @realDonaldTrump: https://t.co/qz1OfL56rg'
1195364994952679424,2019-11-15 15:36:38,b'RT @realDonaldTrump: https://t.co/ObHvebm4ry'
1195364994810023936,2019-11-15 15:36:38,b'RT @realDonaldTrump: https://t.co/86HWwzDlEo'
1195363099710251008,2019-11-15 15:29:06,b'RT @realDonaldTrump: https://t.co/XE7ofTy7Sf'
1195362105458929665,2019-11-15 15:25:09,b'RT @realDonaldTrump: https://t.co/0zTfpzHCNK'
1195360552350040064,2019-11-15 15:18:59,"b'RT @realDonaldTrump: Another Record Stock Market, 21 times this year, despite an ongoing, &amp; totally unfounded, Witch Hunt, &amp; a Democrat Par\xe2\x80\xa6'"
1195356744312147971,2019-11-15 15:03:51,b'RT @realDonaldTrump: ....They call it \xe2\x80\x9cserving at the pleasure of the President.\xe2\x80\x9d The U.S. now has a very strong and powerful foreign polic\xe2\x80\xa6'
